"station_id","name","state","local_authority","latitude","longitude","existing_charger_count","proposed_charger_count","ac_charger_count","dc_charger_count","indoor_outdoor","status","data_as","source_name","source_url","source_record_id","retrieved_at_utc"
"mevnet-3955","PALM GARDEN PUTRAJAYA","SELANGOR","Majlis Perbandaran Sepang","2.97006113","101.7082892","2","1","2","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3955","2026-07-26T09:23:16Z"
"mevnet-3956","THE LOFT SOUTH BAY CITY","PULAU PINANG","Majlis Bandaraya Pulau Pinang","5.28164873","100.2875062","0","1","0","0",,"Newly Proposed","27-Sep-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3956","2026-07-26T09:23:16Z"
"mevnet-3957","M ROOF HOTEL & RESIDENCES","PERAK","Majlis Bandaraya Ipoh","4.61215891","101.1051784","4","1","4","0","Outdoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3957","2026-07-26T09:23:16Z"
"mevnet-3958","FESTIVAL WALK, IPOH","PERAK","Majlis Bandaraya Ipoh","4.61953131","101.1192856","2","1","0","2","Outdoor","Existing","1-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3958","2026-07-26T09:23:16Z"
"mevnet-3959","GENTING PERMAI","PAHANG","Majlis Perbandaran Bentong","3.3867952","101.7738311","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3959","2026-07-26T09:23:16Z"
"mevnet-3960","THE GOODWOOD RESIDENCE","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.10914535","101.6639428","2","1","2","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3960","2026-07-26T09:23:16Z"
"mevnet-3961","SIME DARBY AUTO CSL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.12369675","101.711691","3","1","1","2","Outdoor","Existing","31-Oct-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3961","2026-07-26T09:23:16Z"
"mevnet-3962","ONE PACIFIC HOTEL & SERVICES","PULAU PINANG","Majlis Bandaraya Pulau Pinang","5.4191691","100.3177596","2","1","2","0","Indoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3962","2026-07-26T09:23:16Z"
"mevnet-3963","CAMERON CENTRUM","PAHANG","Majlis Daerah Cameron Highlands","4.49471262","101.3892335","2","1","2","0","Indoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3963","2026-07-26T09:23:16Z"
"mevnet-3964","RHB BANK HQ KL TUN RAZAK","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.14390682","101.7219605","2","1","2","0","Outdoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3964","2026-07-26T09:23:16Z"
"mevnet-3965","R&R SEREMBAN SOUTHBOUND","NEGERI SEMBILAN","Majlis Bandaraya Seremban","2.76532102","101.8289872","2","1","2","0","Outdoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3965","2026-07-26T09:23:16Z"
"mevnet-3966","SENTRAL VISTA","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.13255122","101.6904597","2","1","2","0","Indoor","Existing","20-May-25","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3966","2026-07-26T09:23:16Z"
"mevnet-3967","1 SHAMELIN MALL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.12208223","101.7400724","2","1","2","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3967","2026-07-26T09:23:16Z"
"mevnet-3968","UNITAR INTERNATIONAL UNIVERSITY","SELANGOR","Majlis Bandaraya Petaling Jaya","3.09999237","101.6002836","2","1","2","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3968","2026-07-26T09:23:16Z"
"mevnet-3969","ORIENTAL CRYSTAL HOTEL","SELANGOR","Majlis Perbandaran Kajang","2.99025063","101.7906579","1","1","1","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3969","2026-07-26T09:23:16Z"
"mevnet-3970","CROWNE PLAZA","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.16279729","101.7137174","4","1","4","0","Indoor","Existing","31-Aug-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3970","2026-07-26T09:23:16Z"
"mevnet-3971","IMPERIAL LEXIS KL","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.15239501","101.7161634","3","1","3","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3971","2026-07-26T09:23:16Z"
"mevnet-3972","DATARAN BENTONG","PAHANG","Majlis Perbandaran Bentong","3.5277253","101.905417","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3972","2026-07-26T09:23:16Z"
"mevnet-3973","KUANTAN RIVERFRONT","PAHANG","Majlis Bandaraya Kuantan","3.79867073","103.3227497","2","1","2","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3973","2026-07-26T09:23:16Z"
"mevnet-3974","BYD SHOWROOM KUANTAN","PAHANG","Majlis Bandaraya Kuantan","3.80932308","103.3310494","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3974","2026-07-26T09:23:16Z"
"mevnet-3975","CHERATING POND","PAHANG","Majlis Bandaraya Kuantan","4.13112657","103.400205","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3975","2026-07-26T09:23:16Z"
"mevnet-3976","IMPERIAL REGENCY SUITES & HOTEL BANGSAR","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.11514611","101.6680708","1","1","1","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3976","2026-07-26T09:23:16Z"
"mevnet-3977","ONE SHELL SQUARE MIRI","SARAWAK","Majlis Bandaraya Miri","4.39397838","113.9852252","5","1","5","0","Outdoor","Existing","31-Dec-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3977","2026-07-26T09:23:16Z"
"mevnet-3978","SAMARAHAN COUNTRY CLUB","SARAWAK","Majlis Perbandaran Kota Samarahan","1.46984265","110.4211444","2","1","2","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3978","2026-07-26T09:23:16Z"
"mevnet-3979","MATAHARI EV SOLUTION","SELANGOR","Majlis Perbandaran Kuala Selangor","3.31182619","101.4170057","1","1","1","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3979","2026-07-26T09:23:16Z"
"mevnet-3980","KIARA 9 RESIDENCY","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.1698701","101.6491482","3","1","3","0","Indoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3980","2026-07-26T09:23:16Z"
"mevnet-3981","SHELL PAKA R&R NORTH","TERENGGANU","Majlis Perbandaran Dungun","4.64724081","103.342303","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3981","2026-07-26T09:23:16Z"
"mevnet-3982","KPJ SEREMBAN SPECIALIST HOSPITAL","NEGERI SEMBILAN","Majlis Bandaraya Seremban","2.71854071","101.9218433","3","1","3","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3982","2026-07-26T09:23:16Z"
"mevnet-3983","PULLMAN HOTEL KLCC","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.15053118","101.7144574","1","1","0","1","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3983","2026-07-26T09:23:16Z"
"mevnet-3984","PLAZA 33","SELANGOR","Majlis Bandaraya Petaling Jaya","3.10987373","101.6382945","4","1","2","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3984","2026-07-26T09:23:16Z"
"mevnet-3985","THE EDISON GEORGE TOWN","PULAU PINANG","Majlis Bandaraya Pulau Pinang","5.42069048","100.3349221","2","1","2","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3985","2026-07-26T09:23:16Z"
"mevnet-3986","VITROX","PULAU PINANG","Majlis Bandaraya Seberang Perai","5.22660869","100.4429725","3","1","3","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3986","2026-07-26T09:23:16Z"
"mevnet-3987","SMART SHOWROOM ALOR SETAR","KEDAH","Majlis Bandaraya Alor Setar","6.12506428","100.36836","1","1","0","1","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3987","2026-07-26T09:23:16Z"
"mevnet-3988","NIRVANA 2","W.P. KUALA LUMPUR","Dewan Bandaraya Kuala Lumpur","3.13056926","101.7040817","1","1","1","0","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3988","2026-07-26T09:23:16Z"
"mevnet-3989","IJM BAYOURI GALLERY","PULAU PINANG","Majlis Bandaraya Seberang Perai","5.19328008","100.4888088","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3989","2026-07-26T09:23:16Z"
"mevnet-3990","MG MOTOR","SELANGOR","Majlis Bandaraya Petaling Jaya","3.09541558","101.6326431","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3990","2026-07-26T09:23:16Z"
"mevnet-3991","PETRONAS PEKAN LUKUT","NEGERI SEMBILAN","Majlis Perbandaran Port Dickson","2.56568883","101.8243281","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3991","2026-07-26T09:23:16Z"
"mevnet-3992","STARBUCKS CHANGLUN DT","KEDAH","Malis Perbandaran Kubang Pasu","6.43677192","100.429953","2","1","0","2","Outdoor","Existing","28-Jun-24","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","3992","2026-07-26T09:23:16Z"
