"charger_group_id","station_id","network","charger_count","ac_charger_count_at_station","dc_charger_count_at_station","individual_connector_type","individual_power_kw","price_per_kwh","operational_state","source_name","source_url","source_record_id","retrieved_at_utc"
"mevnet-183-chargev","mevnet-183","chargEV","1","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","183","2026-07-26T09:23:16Z"
"mevnet-184-chargev","mevnet-184","chargEV","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","184","2026-07-26T09:23:16Z"
"mevnet-185-chargev","mevnet-185","chargEV","1","4","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","185","2026-07-26T09:23:16Z"
"mevnet-185-mini","mevnet-185","MINI","3","4","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","185","2026-07-26T09:23:16Z"
"mevnet-185-others","mevnet-185","Others","4","4","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","185","2026-07-26T09:23:16Z"
"mevnet-195-jomcharge","mevnet-195","JomCharge","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","195","2026-07-26T09:23:16Z"
"mevnet-198-chargev","mevnet-198","chargEV","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","198","2026-07-26T09:23:16Z"
"mevnet-200-zap","mevnet-200","Zap","1","0","1","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","200","2026-07-26T09:23:16Z"
"mevnet-202-chargev","mevnet-202","chargEV","1","1","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","202","2026-07-26T09:23:16Z"
"mevnet-206-chargev","mevnet-206","chargEV","1","1","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","206","2026-07-26T09:23:16Z"
"mevnet-208-bmw","mevnet-208","BMW","2","5","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","208","2026-07-26T09:23:16Z"
"mevnet-208-parkeasy","mevnet-208","ParkEasy","3","5","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","208","2026-07-26T09:23:16Z"
"mevnet-211-parkeasy","mevnet-211","ParkEasy","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","211","2026-07-26T09:23:16Z"
"mevnet-216-chargesini","mevnet-216","ChargeSini","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","216","2026-07-26T09:23:16Z"
"mevnet-227-others","mevnet-227","Others","1","1","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","227","2026-07-26T09:23:16Z"
"mevnet-233-chargev","mevnet-233","chargEV","2","2","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","233","2026-07-26T09:23:16Z"
"mevnet-233-chargesini","mevnet-233","ChargeSini","2","2","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","233","2026-07-26T09:23:16Z"
"mevnet-239-gentari","mevnet-239","Gentari","4","0","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","239","2026-07-26T09:23:16Z"
"mevnet-241-chargev","mevnet-241","chargEV","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","241","2026-07-26T09:23:16Z"
"mevnet-260-chargev","mevnet-260","chargEV","2","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","260","2026-07-26T09:23:16Z"
"mevnet-260-others","mevnet-260","Others","1","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","260","2026-07-26T09:23:16Z"
"mevnet-261-others","mevnet-261","Others","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","261","2026-07-26T09:23:16Z"
"mevnet-269-sunway","mevnet-269","Sunway","18","18","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","269","2026-07-26T09:23:16Z"
"mevnet-269-others","mevnet-269","Others","4","18","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","269","2026-07-26T09:23:16Z"
"mevnet-287-gentari","mevnet-287","Gentari","3","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","287","2026-07-26T09:23:16Z"
"mevnet-291-others","mevnet-291","Others","4","4","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","291","2026-07-26T09:23:16Z"
"mevnet-294-chargev","mevnet-294","chargEV","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","294","2026-07-26T09:23:16Z"
"mevnet-295-chargesini","mevnet-295","ChargeSini","4","2","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","295","2026-07-26T09:23:16Z"
"mevnet-319-bmw","mevnet-319","BMW","2","3","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","319","2026-07-26T09:23:16Z"
"mevnet-319-chargev","mevnet-319","chargEV","3","3","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","319","2026-07-26T09:23:16Z"
"mevnet-403-chargev","mevnet-403","chargEV","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","403","2026-07-26T09:23:16Z"
"mevnet-664-others","mevnet-664","Others","1","1","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","664","2026-07-26T09:23:16Z"
"mevnet-722-chargev","mevnet-722","chargEV","1","1","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","722","2026-07-26T09:23:16Z"
"mevnet-723-chargev","mevnet-723","chargEV","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","723","2026-07-26T09:23:16Z"
"mevnet-740-chargev","mevnet-740","chargEV","2","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","740","2026-07-26T09:23:16Z"
"mevnet-740-chargesini","mevnet-740","ChargeSini","1","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","740","2026-07-26T09:23:16Z"
"mevnet-768-gentari","mevnet-768","Gentari","3","2","1","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","768","2026-07-26T09:23:16Z"
"mevnet-770-shell-recharge","mevnet-770","Shell Recharge","4","4","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","770","2026-07-26T09:23:16Z"
"mevnet-772-gentari","mevnet-772","Gentari","4","3","1","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","772","2026-07-26T09:23:16Z"
"mevnet-776-others","mevnet-776","Others","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","776","2026-07-26T09:23:16Z"
"mevnet-782-gentari","mevnet-782","Gentari","4","0","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","782","2026-07-26T09:23:16Z"
"mevnet-783-chargev","mevnet-783","chargEV","4","2","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","783","2026-07-26T09:23:16Z"
"mevnet-816-chargesini","mevnet-816","ChargeSini","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","816","2026-07-26T09:23:16Z"
"mevnet-818-gentari","mevnet-818","Gentari","3","0","3","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","818","2026-07-26T09:23:16Z"
"mevnet-819-gentari","mevnet-819","Gentari","1","0","1","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","819","2026-07-26T09:23:16Z"
"mevnet-837-chargev","mevnet-837","chargEV","1","1","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","837","2026-07-26T09:23:16Z"
"mevnet-842-gentari","mevnet-842","Gentari","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","842","2026-07-26T09:23:16Z"
"mevnet-854-shell-recharge","mevnet-854","Shell Recharge","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","854","2026-07-26T09:23:16Z"
"mevnet-858-gentari","mevnet-858","Gentari","10","10","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","858","2026-07-26T09:23:16Z"
"mevnet-863-chargev","mevnet-863","chargEV","4","2","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","863","2026-07-26T09:23:16Z"
"mevnet-866-jomcharge","mevnet-866","JomCharge","2","0","3","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","866","2026-07-26T09:23:16Z"
"mevnet-866-others","mevnet-866","Others","1","0","3","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","866","2026-07-26T09:23:16Z"
"mevnet-867-parkeasy","mevnet-867","ParkEasy","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","867","2026-07-26T09:23:16Z"
"mevnet-874-chargev","mevnet-874","chargEV","2","12","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","874","2026-07-26T09:23:16Z"
"mevnet-874-gentari","mevnet-874","Gentari","10","12","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","874","2026-07-26T09:23:16Z"
"mevnet-878-shell-recharge","mevnet-878","Shell Recharge","3","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","878","2026-07-26T09:23:16Z"
"mevnet-879-1utama","mevnet-879","1Utama","11","11","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","879","2026-07-26T09:23:16Z"
"mevnet-882-chargev","mevnet-882","chargEV","2","2","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","882","2026-07-26T09:23:16Z"
"mevnet-883-parkeasy","mevnet-883","ParkEasy","3","3","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","883","2026-07-26T09:23:16Z"
"mevnet-884-others","mevnet-884","Others","4","4","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","884","2026-07-26T09:23:16Z"
"mevnet-887-chargesini","mevnet-887","ChargeSini","2","0","2","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","887","2026-07-26T09:23:16Z"
"mevnet-889-jomcharge","mevnet-889","JomCharge","9","14","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","889","2026-07-26T09:23:16Z"
"mevnet-889-shell-recharge","mevnet-889","Shell Recharge","5","14","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","889","2026-07-26T09:23:16Z"
"mevnet-889-others","mevnet-889","Others","4","14","4","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","889","2026-07-26T09:23:16Z"
"mevnet-891-chargev","mevnet-891","chargEV","5","0","5","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","891","2026-07-26T09:23:16Z"
"mevnet-892-others","mevnet-892","Others","4","4","0","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","892","2026-07-26T09:23:16Z"
"mevnet-894-chargev","mevnet-894","chargEV","2","8","10","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","894","2026-07-26T09:23:16Z"
"mevnet-894-chargesini","mevnet-894","ChargeSini","8","8","10","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","894","2026-07-26T09:23:16Z"
"mevnet-894-jomcharge","mevnet-894","JomCharge","4","8","10","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","894","2026-07-26T09:23:16Z"
"mevnet-894-zap","mevnet-894","Zap","4","8","10","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","Not published by MEVnet","PLANMalaysia MEVnet","https://portaldev.planmalaysia.gov.my/portal/apps/dashboards/bba366dc3d144510bfd7cda771795f3d","894","2026-07-26T09:23:16Z"
